participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,bacc,f1,best_local_params,best_local_cv_bacc
3,340,600,34,60,376,0.5633333333333334,0.51125,0.6708542713567839,"{""svc__C"": 1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6436737356117834
5,400,600,40,60,376,0.5566666666666666,0.4822222222222222,0.273224043715847,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.45226151476151477
6,400,600,40,60,376,0.6166666666666667,0.6166666666666667,0.6114864864864865,"{""svc__C"": 1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.6081105138112746
8,400,600,40,60,376,0.5316666666666666,0.524074074074074,0.4627151051625239,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.5203591211655728
9,400,600,40,60,376,0.6116666666666667,0.44791666666666663,0.15272727272727274,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.19481727574750832
10,400,600,40,60,376,0.605,0.5631868131868132,0.6980891719745222,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.7373634608780035
12,400,600,40,60,376,0.595,0.5686813186813187,0.45393258426966293,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.4847597001763668
14,400,600,40,60,376,0.5483333333333333,0.5429292929292929,0.5924812030075188,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6433051479391602
15,400,600,40,60,376,0.555,0.5516835016835017,0.5118829981718465,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.48029922216011744
21,400,600,40,60,376,0.53,0.543956043956044,0.5791044776119403,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6576261280389563
22,400,600,40,60,376,0.5733333333333334,0.5583333333333333,0.6404494382022472,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.7515151515151515
